序号,相对时间(s),R（Ω）,X（Ω）,时间
445,48.34,16747.5,-2102.15,2026/01/29 20:54:07
446,48.45,16793,-2098.03,2026/01/29 20:54:07
447,48.56,16805,-2098.53,2026/01/29 20:54:07
448,48.67,16816.4,-2096.91,2026/01/29 20:54:08
449,48.78,16847,-2092.92,2026/01/29 20:54:08
450,48.89,16789.1,-2099.22,2026/01/29 20:54:08
451,48.99,16750.1,-2102.22,2026/01/29 20:54:08
452,49.1,16776.5,-2101.38,2026/01/29 20:54:08
453,49.21,16791.7,-2098.86,2026/01/29 20:54:08
454,49.32,16813.7,-2096.46,2026/01/29 20:54:08
455,49.43,16829.3,-2095.76,2026/01/29 20:54:08
456,49.54,16836.8,-2093.74,2026/01/29 20:54:08
457,49.65,16768.9,-2101.44,2026/01/29 20:54:09
458,49.76,16755.7,-2104.31,2026/01/29 20:54:09
459,49.87,16792.6,-2098.33,2026/01/29 20:54:09
460,49.98,16811.3,-2099.42,2026/01/29 20:54:09
461,50.08,16835.2,-2094.44,2026/01/29 20:54:09
462,50.19,16843,-2094.43,2026/01/29 20:54:09
463,50.3,16811.8,-2097.21,2026/01/29 20:54:09
464,50.41,16759.3,-2102.6,2026/01/29 20:54:09
