序号,相对时间(s),R（Ω）,X（Ω）,时间
405,44.01,17872.6,-2495.55,2026/01/29 23:28:33
406,44.12,17920.1,-2487.28,2026/01/29 23:28:33
407,44.23,17945.3,-2479.38,2026/01/29 23:28:33
408,44.34,17942,-2482.74,2026/01/29 23:28:33
409,44.45,17948.6,-2480.4,2026/01/29 23:28:33
410,44.55,17945.6,-2482.55,2026/01/29 23:28:33
411,44.66,17925.1,-2484.77,2026/01/29 23:28:34
412,44.77,17861.7,-2501.14,2026/01/29 23:28:34
413,44.88,17869.3,-2497.12,2026/01/29 23:28:34
414,44.99,17940.8,-2482.77,2026/01/29 23:28:34
415,45.1,17944.3,-2480.65,2026/01/29 23:28:34
416,45.21,17948.4,-2480.2,2026/01/29 23:28:34
417,45.32,17945.3,-2481.96,2026/01/29 23:28:34
418,45.42,17947.9,-2482.3,2026/01/29 23:28:34
419,45.53,17922,-2485.82,2026/01/29 23:28:34
420,45.64,17848.8,-2503.93,2026/01/29 23:28:35
421,45.75,17876.1,-2495.72,2026/01/29 23:28:35
422,45.86,17930.3,-2484.91,2026/01/29 23:28:35
423,45.97,17946.1,-2480.58,2026/01/29 23:28:35
424,46.08,17943.9,-2482.59,2026/01/29 23:28:35
425,46.19,17951,-2480.07,2026/01/29 23:28:35
426,46.3,17931.8,-2485.92,2026/01/29 23:28:35
427,46.4,17847.9,-2502.12,2026/01/29 23:28:35
428,46.51,17859.6,-2500.81,2026/01/29 23:28:35
429,46.62,17900.7,-2490.66,2026/01/29 23:28:36
430,46.73,17954.3,-2479.86,2026/01/29 23:28:36
431,46.84,17951.8,-2479.9,2026/01/29 23:28:36
432,46.95,17953.1,-2480.35,2026/01/29 23:28:36
433,47.06,17949.1,-2482.44,2026/01/29 23:28:36
434,47.17,17954.9,-2482.23,2026/01/29 23:28:36
435,47.27,17949.7,-2481.9,2026/01/29 23:28:36
436,47.38,17960.3,-2480.05,2026/01/29 23:28:36
437,47.49,17958.5,-2478.66,2026/01/29 23:28:36
438,47.6,17958.9,-2480.69,2026/01/29 23:28:37
439,47.71,17960.1,-2478.38,2026/01/29 23:28:37
440,47.82,17956.1,-2481.06,2026/01/29 23:28:37
441,47.93,17961,-2479.07,2026/01/29 23:28:37
442,48.04,17956.2,-2483.07,2026/01/29 23:28:37
443,48.14,17962.2,-2477.84,2026/01/29 23:28:37
444,48.25,17963.4,-2479.16,2026/01/29 23:28:37
445,48.36,17959.9,-2479.02,2026/01/29 23:28:37
446,48.47,17964.6,-2477.99,2026/01/29 23:28:37
447,48.58,17959.1,-2480.23,2026/01/29 23:28:37
448,48.69,17962.3,-2479.75,2026/01/29 23:28:38
449,48.8,17958.8,-2479.88,2026/01/29 23:28:38
450,48.91,17966,-2480.09,2026/01/29 23:28:38
451,49.01,17964.2,-2479.09,2026/01/29 23:28:38
452,49.12,17969.5,-2478.18,2026/01/29 23:28:38
453,49.23,17963.2,-2480.74,2026/01/29 23:28:38
454,49.34,17963.4,-2480.73,2026/01/29 23:28:38
455,49.45,17966,-2480.6,2026/01/29 23:28:38
456,49.56,17961.9,-2481.25,2026/01/29 23:28:38
457,49.67,17967.5,-2479.13,2026/01/29 23:28:39
458,49.78,17963.1,-2482.8,2026/01/29 23:28:39
459,49.89,17971.1,-2476.52,2026/01/29 23:28:39
460,49.99,17968,-2479.44,2026/01/29 23:28:39
461,50.1,17968.3,-2478.23,2026/01/29 23:28:39
462,50.21,17970.7,-2477.79,2026/01/29 23:28:39
463,50.32,17967.1,-2479.47,2026/01/29 23:28:39
464,50.43,17971.3,-2478.51,2026/01/29 23:28:39
